node_id,article,article_num,chapter,clause_id,content,enriched_content,section_path,source,title
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:0,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.2.6,排放管中应安装设备以进行2.2.3.1要求的空气试验。,"[上级条款 FSS Code/5.2.1.2 2.1.2 安装要求] 2.1.2.1 灭火剂的分配管路的布置以及喷嘴的设置应能获得均匀的灭火剂分布。应采用主管机关接受的计算方法计算系统流量。

2.1.2.2 除主管机关另有准许外，储存蒸汽以外的灭火剂所需的受压容器，应按公约第II-2/10.4.3条的要求置于被保护处所的外面。

2.1.2.3 船上应存有该系统的备件并使主管机关满意。

2.1.2.4 对于阀布置接入闭式管路的管路部分，这些部分应配备压力释放阀，且阀外端应通向露天甲板。

2.1.2.5 被保护处所中所有排放管、设备和喷嘴应采用熔点温度超过  $925^{\circ}\mathrm{C}$  的材料。管路及其相关设备应有足够的支撑。

2.1

[本条款] 排放管中应安装设备以进行2.2.3.1要求的空气试验。",5.2.1.2.6,FSS Code,5.2.1.2.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:1,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.3,"2.1.3.1 输送灭火剂至被保护处所的管子应设有控制阀，并应清楚地标明这些管子通往的处所。应有适当的措施以防止灭火剂因疏忽而注入任何处所。设有气体灭火系统的货舱如用作乘客处所时，在运客期间，气体的管子连头应予盲断。管路可以通过起居处所，条件是这些管子具有足够的厚度，且它们的密性是在安装好后，通过以不小于  $5 \mathrm{~N} / \mathrm{mm}^{2}$  压头的压力试验得以验证。此外，通过起居处所的管子只能用焊接连接，且在这些处所内不应安装有排水口或其他开口。（指的是管子不能开泄放口，而不是舱室的排水）管路不应通过冷藏处所。指的是管子不能开

2.1.3.2 对任何滚装处所、装有整体式冷藏集装箱的集装箱货舱、由门或舱口进出的处所和通常有人员工作或进出的其他处所，应设有释放灭火剂的听觉和视觉自动报警装置。听觉报警应位于在所有机器工作的状态下在整个被保护处所内都能听见的位置，且应通过调节声压或声调使该报警与其他听觉报警区分开来。预释放报警应自动启动，如通过打开释放舱室的门启动。报警所需的时间长短应为撤离该处所需的时间，但是无论如何在灭火剂被释放前应不少于20s。普通货物处所及仅配有局部释放装置的小型处所(如压缩机房、油漆间等)不必配备这种报警。

2.1.3.3 固定式气体灭火系统的控制设施应易于接近和操作简便，且应成组地安装于尽可能少的处所，其所在位置应不致为被保护处所的火灾所切断。考虑到人员安全，在每一处所应备有指导该系统操作的说明书。

MSC339(91)

2.1.3.4 除主管机关准许外，不允许采用自动释灭火剂的装置。",,5.2.1.3,FSS Code,2.1.3 系统控制要求
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:2,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.3.1,输送灭火剂至被保护处所的管子应设有控制阀，并应清楚地标明这些管子通往的处所。应有适当的措施以防止灭火剂因疏忽而注入任何处所。设有气体灭火系统的货舱如用作乘客处所时，在运客期间，气体的管子连头应予盲断。管路可以通过起居处所，条件是这些管子具有足够的厚度，且它们的密性是在安装好后，通过以不小于  $5 \mathrm{~N} / \mathrm{mm}^{2}$  压头的压力试验得以验证。此外，通过起居处所的管子只能用焊接连接，且在这些处所内不应安装有排水口或其他开口。（指的是管子不能开泄放口，而不是舱室的排水）管路不应通过冷藏处所。指的是管子不能开,,5.2.1.3.1,FSS Code,5.2.1.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:3,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.3.2,对任何滚装处所、装有整体式冷藏集装箱的集装箱货舱、由门或舱口进出的处所和通常有人员工作或进出的其他处所，应设有释放灭火剂的听觉和视觉自动报警装置。听觉报警应位于在所有机器工作的状态下在整个被保护处所内都能听见的位置，且应通过调节声压或声调使该报警与其他听觉报警区分开来。预释放报警应自动启动，如通过打开释放舱室的门启动。报警所需的时间长短应为撤离该处所需的时间，但是无论如何在灭火剂被释放前应不少于20s。普通货物处所及仅配有局部释放装置的小型处所(如压缩机房、油漆间等)不必配备这种报警。,,5.2.1.3.2,FSS Code,5.2.1.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:4,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.3.3,"固定式气体灭火系统的控制设施应易于接近和操作简便，且应成组地安装于尽可能少的处所，其所在位置应不致为被保护处所的火灾所切断。考虑到人员安全，在每一处所应备有指导该系统操作的说明书。

MSC339(91)",,5.2.1.3.3,FSS Code,5.2.1.3.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:5,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.1.3.4,除主管机关准许外，不允许采用自动释灭火剂的装置。,"[上级条款 FSS Code/5.2.1.3 2.1.3 系统控制要求] 2.1.3.1 输送灭火剂至被保护处所的管子应设有控制阀，并应清楚地标明这些管子通往的处所。应有适当的措施以防止灭火剂因疏忽而注入任何处所。设有气体灭火系统的货舱如用作乘客处所时，在运客期间，气体的管子连头应予盲断。管路可以通过起居处所，条件是这些管子具有足够的厚度，且它们的密性是在安装好后，通过以不小于  $5 \mathrm{~N} / \mathrm{mm}^{2}$  压头的压力试验得以验证。此外，通过起居处所的管子只能用焊接连接，且在这些处所内不应安装有排水口或其他开口。（指的是管子不能开泄放口，而不是舱室的排水）管路不应通过冷藏处所。指的是管子不能开

2.1.3.2 对任何滚装处

[本条款] 除主管机关准许外，不允许采用自动释灭火剂的装置。",5.2.1.3.4,FSS Code,5.2.1.3.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:6,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1,"2.2.1.1 货物处所所备二氧化碳的数量，除另有规定外，应足以放出体积至少等于该船受保护的最大货物处所总容积  $30\%$  的自由气体。

2.2.1.2 特种处所以外的车辆处所和滚装处所所备二氧化碳的数量应足以释放出体积至少等于可被密封的最大货物处所总容积  $45\%$  的自由气体，且该布置应确保至少三分之二相关处所需气体应在  $10 \mathrm{~min}$  内被注入。二氧化碳系统不应用于保护特种处所。

2.2.1.3 机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算至机舱棚的一个水平面为止, 在这个水平面上, 机舱棚的水平面积等于或小于从舱顶至机舱棚最低部分的中点处水平面积的  $40 \%$  ; 或

.2 被保护的最大机器处所（包括机舱棚）总容积的  $35\%$  。

2.2.1.4 对小于2,000总吨的货船，如其两个或两个以上的机器处所未完全隔开而被视作一个处所时，上述2.2.1.2条规定的百分数可分别减小到  $35\%$  和  $30\%$  。

2.2.1.5 这里所指的二氧化碳自由气体的容积应以  $0.56 \mathrm{~m}^{3} / \mathrm{kg}$  计算。

2.2.1.6 机器处所的固定管系应能使  $85\%$  的气体在  $2\mathrm{min}$  内注入该处所。

2.2.1.7 对于集装箱和普通货物处所（主要拟载运多种独立系固或包装的货物），固定管系应可使至少三分之二的气体在  $10\mathrm{min}$  内注入该处所。对于固体散货处所，固定管系应可使至少三分之二的气体在  $20\mathrm{min}$  内注入该处所。系统控制装置应布置为根据货舱的装载状况允许释放气体总量的三分之一、三分之二或全部。

2.2.2 保护滚装处所、装有整体式冷藏集装箱的集装箱货舱、由门或舱口进出的处所和通常有人员工作或进出的其他处所的二氧化碳系统应符合下列要求：

.1 应设置两套独立的控制装置，以将二氧化碳释放至被保护处所，并确保报警装置的启动。一套控制装置应用于开启安装在将气体输送至被保护处所的管路上的阀门，另一套控制装置应用于将气体从所储存的容器中排出。应采取积极的措施以确保其按照此顺序操作；和

2.2 两套控制装置应布置在一个释放箱内，在该箱的特定部位应设醒目标记。如果装有控制装置的释放箱上加锁，用于开启箱子的钥匙应置于设有玻璃面板的盒子里，该盒子应置放在释放箱附近的明显位置处。",,5.2.2.1,FSS Code,2.2.1 灭火剂的数量
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:7,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.1,应设置两套独立的控制装置，以将二氧化碳释放至被保护处所，并确保报警装置的启动。一套控制装置应用于开启安装在将气体输送至被保护处所的管路上的阀门，另一套控制装置应用于将气体从所储存的容器中排出。应采取积极的措施以确保其按照此顺序操作；和,,5.2.2.1.1,FSS Code,5.2.2.1.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:8,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.2,两套控制装置应布置在一个释放箱内，在该箱的特定部位应设醒目标记。如果装有控制装置的释放箱上加锁，用于开启箱子的钥匙应置于设有玻璃面板的盒子里，该盒子应置放在释放箱附近的明显位置处。,"[上级条款 FSS Code/5.2.2.1 2.2.1 灭火剂的数量] 2.2.1.1 货物处所所备二氧化碳的数量，除另有规定外，应足以放出体积至少等于该船受保护的最大货物处所总容积  $30\%$  的自由气体。

2.2.1.2 特种处所以外的车辆处所和滚装处所所备二氧化碳的数量应足以释放出体积至少等于可被密封的最大货物处所总容积  $45\%$  的自由气体，且该布置应确保至少三分之二相关处所需气体应在  $10 \mathrm{~min}$  内被注入。二氧化碳系统不应用于保护特种处所。

2.2.1.3 机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算

[本条款] 两套控制装置应布置在一个释放箱内，在该箱的特定部位应设醒目标记。如果装有控制装置的释放箱上加锁，用于开启箱子的钥匙应置于设有玻璃面板的盒子里，该盒子应置放在释放箱附近的明显位置处。",5.2.2.1.2,FSS Code,5.2.2.1.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:9,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.3,"机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算至机舱棚的一个水平面为止, 在这个水平面上, 机舱棚的水平面积等于或小于从舱顶至机舱棚最低部分的中点处水平面积的  $40 \%$  ; 或",,5.2.2.1.3,FSS Code,5.2.2.1.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:10,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.4,"对小于2,000总吨的货船，如其两个或两个以上的机器处所未完全隔开而被视作一个处所时，上述2.2.1.2条规定的百分数可分别减小到  $35\%$  和  $30\%$  。","[上级条款 FSS Code/5.2.2.1 2.2.1 灭火剂的数量] 2.2.1.1 货物处所所备二氧化碳的数量，除另有规定外，应足以放出体积至少等于该船受保护的最大货物处所总容积  $30\%$  的自由气体。

2.2.1.2 特种处所以外的车辆处所和滚装处所所备二氧化碳的数量应足以释放出体积至少等于可被密封的最大货物处所总容积  $45\%$  的自由气体，且该布置应确保至少三分之二相关处所需气体应在  $10 \mathrm{~min}$  内被注入。二氧化碳系统不应用于保护特种处所。

2.2.1.3 机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算

[本条款] 对小于2,000总吨的货船，如其两个或两个以上的机器处所未完全隔开而被视作一个处所时，上述2.2.1.2条规定的百分数可分别减小到  $35\%$  和  $30\%$  。",5.2.2.1.4,FSS Code,5.2.2.1.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:11,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.5,这里所指的二氧化碳自由气体的容积应以  $0.56 \mathrm{~m}^{3} / \mathrm{kg}$  计算。,"[上级条款 FSS Code/5.2.2.1 2.2.1 灭火剂的数量] 2.2.1.1 货物处所所备二氧化碳的数量，除另有规定外，应足以放出体积至少等于该船受保护的最大货物处所总容积  $30\%$  的自由气体。

2.2.1.2 特种处所以外的车辆处所和滚装处所所备二氧化碳的数量应足以释放出体积至少等于可被密封的最大货物处所总容积  $45\%$  的自由气体，且该布置应确保至少三分之二相关处所需气体应在  $10 \mathrm{~min}$  内被注入。二氧化碳系统不应用于保护特种处所。

2.2.1.3 机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算

[本条款] 这里所指的二氧化碳自由气体的容积应以  $0.56 \mathrm{~m}^{3} / \mathrm{kg}$  计算。",5.2.2.1.5,FSS Code,5.2.2.1.5
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:12,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.6,机器处所的固定管系应能使  $85\%$  的气体在  $2\mathrm{min}$  内注入该处所。,"[上级条款 FSS Code/5.2.2.1 2.2.1 灭火剂的数量] 2.2.1.1 货物处所所备二氧化碳的数量，除另有规定外，应足以放出体积至少等于该船受保护的最大货物处所总容积  $30\%$  的自由气体。

2.2.1.2 特种处所以外的车辆处所和滚装处所所备二氧化碳的数量应足以释放出体积至少等于可被密封的最大货物处所总容积  $45\%$  的自由气体，且该布置应确保至少三分之二相关处所需气体应在  $10 \mathrm{~min}$  内被注入。二氧化碳系统不应用于保护特种处所。

2.2.1.3 机器处所应备有足够的二氧化碳量，所释放出的自由气体体积至少等于下列两者中的较大值：

1. 被保护的最大机器处所总容积的  $40 \%$ , 此容积算

[本条款] 机器处所的固定管系应能使  $85\%$  的气体在  $2\mathrm{min}$  内注入该处所。",5.2.2.1.6,FSS Code,5.2.2.1.6
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:13,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.1.7,对于集装箱和普通货物处所（主要拟载运多种独立系固或包装的货物），固定管系应可使至少三分之二的气体在  $10\mathrm{min}$  内注入该处所。对于固体散货处所，固定管系应可使至少三分之二的气体在  $20\mathrm{min}$  内注入该处所。系统控制装置应布置为根据货舱的装载状况允许释放气体总量的三分之一、三分之二或全部。,,5.2.2.1.7,FSS Code,5.2.2.1.7
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:14,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.2,保护滚装处所、装有整体式冷藏集装箱的集装箱货舱、由门或舱口进出的处所和通常有人员工作或进出的其他处所的二氧化碳系统应符合下列要求：,,5.2.2.2,FSS Code,5.2.2.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:15,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.3,"系统进行安装、压力试验和检查后，应进行下述试验：

1.1 所有管路和喷嘴内自由气体流动试验；和

.2 报警设备的功能试验。",,5.2.2.3,FSS Code,2.2.3 安装试验
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:16,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.3.1,所有管路和喷嘴内自由气体流动试验；和,,5.2.2.3.1,FSS Code,5.2.2.3.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:17,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.3.2,报警设备的功能试验。,,5.2.2.3.2,FSS Code,5.2.2.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:18,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4,"如设有低压  $\mathrm{CO}_{2}$  系统以符合本条要求，下列要求适用。

2.2.4.1 系统控制装置和制冷装置应位于储存耐压容器的同一房间内。

2.2.4.2 额定的液态二氧化碳量应储存在工作压力为1.8至  $2.2\mathrm{N} / \mathrm{mm}^2$  范围内的容器内。在容器内正常液体充装量应加以限制，以提供足够的蒸汽空间允许液体在最高储存温度下膨胀（此项膨胀率比在压力释放阀整定值时所获得者为大），但蒸汽空间不必大于容器体积的  $95\%$  。",,5.2.2.4,FSS Code,2.2.4 低压  $\mathrm{CO}_{2}$  系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:19,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4.1,系统控制装置和制冷装置应位于储存耐压容器的同一房间内。,"[上级条款 FSS Code/5.2.2.4 2.2.4 低压  $\mathrm{CO}_{2}$  系统] 如设有低压  $\mathrm{CO}_{2}$  系统以符合本条要求，下列要求适用。

2.2.4.1 系统控制装置和制冷装置应位于储存耐压容器的同一房间内。

2.2.4.2 额定的液态二氧化碳量应储存在工作压力为1.8至  $2.2\mathrm{N} / \mathrm{mm}^2$  范围内的容器内。在容器内正常液体充装量应加以限制，以提供足够的蒸汽空间允许液体在最高储存温度下膨胀（此项膨胀率比在压力释放阀整定值时所获得者为大），但蒸汽空间不必大于容器体积的  $95\%$  。

[本条款] 系统控制装置和制冷装置应位于储存耐压容器的同一房间内。",5.2.2.4.1,FSS Code,5.2.2.4.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:20,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4.2,额定的液态二氧化碳量应储存在工作压力为1.8至  $2.2\mathrm{N} / \mathrm{mm}^2$  范围内的容器内。在容器内正常液体充装量应加以限制，以提供足够的蒸汽空间允许液体在最高储存温度下膨胀（此项膨胀率比在压力释放阀整定值时所获得者为大），但蒸汽空间不必大于容器体积的  $95\%$  。,,5.2.2.4.2,FSS Code,5.2.2.4.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:21,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4.3,".1 压力表；

.2 高压报警器：不超过释放阀的整定值；

.3 低压报警器：不小于  $1.8\mathrm{N} / \mathrm{mm}^2$

.4 具有截止阀的充填容器支管；

.5 排气管；

.6 装在容器上的液态二氧化碳量液位指示仪；和

.7 两个安全阀。

2.2.4.4 两个安全释放阀的布置应使当任一阀关闭时另一阀接通容器。释放阀的设定应不小于工作压力的1.1倍。每一阀的容量应在着火排放产生蒸汽时，在容器内增大的压力不得超过设定压力的  $20\%$  。从安全释放阀排出的蒸汽应排放到大气中。

2.2.4.5 对永久充装二氧化碳的容器和输出管，应设有隔热绝缘，以便当装置断电后，环境温度为  $45^{\circ} \mathrm{C}$  且初始压力等于制冷装置的起动压力时， $24 \mathrm{~h}$  内防止安全阀的操作。

2.2.4.6 容器应设有两台专用的完全独立的自动制冷装置，每台制冷装置包括一台压缩机及其相关的原动机，蒸发器和冷凝器。

2.2.4.7 在海水温度达  $32^{\circ}\mathrm{C}$  和环境温度达  $45^{\circ}\mathrm{C}$  时，每一台装置的制冷能量和自动控制应能在  $24\mathrm{h}$  连续运转的情况下，保持所规定的温度。

2.2.4.8 每台电动制冷装置应由主配电板汇流排通过独立的馈电线供电。

2.2.4.9 制冷装置的冷却水（如要求）应由至少两台冷却水泵提供，其中一台为备用泵。备用泵可以是用于其他用途的泵，但运用此泵供应冷却水时，应不会影响船上其他的重要设备的供水。冷却水应取自不少于二个通海接头，最好一个在左舷，一个在右舷。

2.2.4.10 由阻流阀分隔的每段管子，且管子内压力可能超过任何部件设计压力时，应设有安全释放装置。

2.2.4.11 当发生下列情况时，中央控制站应发出听觉和视觉报警，或如未设有中央控制站，按第II-1/51条发出听觉和视觉报警：

.1 根据2.2.4.2，容器内压力达到下限和上限

.2 值；任一制冷装置操作失效；或

.3 容器内的液体达到最低许可液位。

2.2.4.12 如果系统服务于一个以上处所，应设置二氧化碳排放量控制装置，例如自动定时器或控制位置的正确液位指示仪。

2.2.4.13 如果设有能自动调节释放到被保护处所内二氧化碳的装置，也应能同样用手动调节。",,5.2.2.4.3,FSS Code,2.2.4.3 应设有：
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:22,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4.3.2,值；任一制冷装置操作失效；或,"[上级条款 FSS Code/5.2.2.4.3 2.2.4.3 应设有：] .1 压力表；

.2 高压报警器：不超过释放阀的整定值；

.3 低压报警器：不小于  $1.8\mathrm{N} / \mathrm{mm}^2$

.4 具有截止阀的充填容器支管；

.5 排气管；

.6 装在容器上的液态二氧化碳量液位指示仪；和

.7 两个安全阀。

2.2.4.4 两个安全释放阀的布置应使当任一阀关闭时另一阀接通容器。释放阀的设定应不小于工作压力的1.1倍。每一阀的容量应在着火排放产生蒸汽时，在容器内增大的压力不得超过设定压力的  $20\%$  。从安全释放阀排出的蒸汽应排放到大气中。

2.2.4.5 对永久充装二氧化碳的容器和输出管，应设有隔热绝缘，以便当

[本条款] 值；任一制冷装置操作失效；或",5.2.2.4.3.2,FSS Code,5.2.2.4.3.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:23,第5章 固定式气体灭火系统,5,第5章 固定式气体灭火系统,FSS Code/5.2.2.4.3.3,容器内的液体达到最低许可液位。,"[上级条款 FSS Code/5.2.2.4.3 2.2.4.3 应设有：] .1 压力表；

.2 高压报警器：不超过释放阀的整定值；

.3 低压报警器：不小于  $1.8\mathrm{N} / \mathrm{mm}^2$

.4 具有截止阀的充填容器支管；

.5 排气管；

.6 装在容器上的液态二氧化碳量液位指示仪；和

.7 两个安全阀。

2.2.4.4 两个安全释放阀的布置应使当任一阀关闭时另一阀接通容器。释放阀的设定应不小于工作压力的1.1倍。每一阀的容量应在着火排放产生蒸汽时，在容器内增大的压力不得超过设定压力的  $20\%$  。从安全释放阀排出的蒸汽应排放到大气中。

2.2.4.5 对永久充装二氧化碳的容器和输出管，应设有隔热绝缘，以便当

[本条款] 容器内的液体达到最低许可液位。",5.2.2.4.3.3,FSS Code,5.2.2.4.3.3
