node_id,aliases,category,name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:437,"[""应急消防泵"", ""应急泵""]",消防泵,应急消防泵
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:438,"[""消防泵"", ""主消防泵""]",消防泵,消防泵
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:439,"[""喷水器泵"", ""喷淋泵""]",消防泵,喷水器泵
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:687,"[""固定式灭火系统"", ""固定灭火系统"", ""固定灭火""]",灭火系统,固定式灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:688,"[""CO2灭火系统"", ""二氧化碳灭火系统"", ""CO2灭火"", ""固定式CO2灭火系统"", ""高压二氧化碳灭火系统"", ""低压二氧化碳灭火系统"", ""低压CO2"", ""高压CO2"", ""二氧化碳灭火"", ""CO2系统"", ""二氧化碳系统"", ""二氧化碳"", ""CO2""]",灭火系统,CO2灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:689,"[""泡沫灭火系统"", ""泡沫灭火"", ""固定式泡沫灭火系统"", ""甲板泡沫系统"", ""泡沫系统"", ""高倍泡沫灭火系统"", ""固定式高倍泡沫灭火系统"", ""高倍泡沫""]",灭火系统,泡沫灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:690,"[""水灭火系统"", ""水灭火""]",灭火系统,水灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:691,"[""喷水器系统"", ""喷水器"", ""喷水灭火系统"", ""自动喷水器系统"", ""自动喷水器"", ""水喷淋系统"", ""固定式水基局部使用灭火系统"", ""水基局部灭火""]",灭火系统,喷水器系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:692,"[""气体灭火系统"", ""固定式气体灭火系统""]",灭火系统,气体灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:693,"[""干粉灭火系统"", ""干粉系统"", ""干粉灭火""]",灭火系统,干粉灭火系统
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:694,"[""局部使用灭火系统"", ""固定式局部使用灭火系统"", ""局部应用系统""]",灭火系统,局部使用灭火系统
