node_id,aliases,category,name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:777,"[""所有船舶"", ""各类船舶""]",通用,所有船舶
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:778,"[""货船""]",船型,货船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:779,"[""客船""]",船型,客船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:780,"[""液货船"", ""油船""]",船型,液货船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:781,"[""化学品船"", ""化学品液货船""]",船型,化学品船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:782,"[""气体运输船""]",船型,气体运输船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:783,"[""集装箱船""]",船型,集装箱船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:784,"[""散货船""]",船型,散货船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:785,"[""杂货船""]",船型,杂货船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:786,"[""滚装船""]",船型,滚装船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:787,"[""汽车运输船"", ""PCTC""]",船型,汽车运输船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:788,"[""渔船""]",船型,渔船
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:789,"[""500总吨及以上"", ""500总吨以上的船舶""]",吨位条件,500总吨及以上船舶
