node_id,aliases,category,name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:754,"[""机器处所"", ""机舱"", ""机械处所""]",机械,机器处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:755,"[""泵房"", ""泵舱"", ""泵室""]",机械,泵房
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:756,"[""锅炉舱"", ""锅炉房"", ""炉舱""]",机械,锅炉舱
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:757,"[""货舱"", ""货物处所"", ""货物空隔舱""]",货物,货舱
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:758,"[""液货舱"", ""液货处所"", ""货油舱""]",货物,液货舱
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:759,"[""液货泵舱"", ""货泵舱""]",货物,液货泵舱
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:760,"[""滚装处所"", ""滚装货处所""]",特种处所,滚装处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:761,"[""特种处所""]",特种处所,特种处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:762,"[""起居处所"", ""居住处所"", ""生活区""]",生活,起居处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:763,"[""控制站"", ""驾驶室"", ""货物控制室"", ""中央控制站"", ""安全中心""]",功能,控制站
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:764,"[""服务处所""]",功能,服务处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:765,"[""厨房"", ""主厨房""]",生活,厨房
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:766,"[""储藏室"", ""储藏间"", ""储物间"", ""油漆储藏室"", ""油漆间"", ""储物柜""]",功能,储藏室
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:767,"[""车辆处所"", ""车辆甲板""]",特种处所,车辆处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:768,"[""围蔽处所""]",功能,围蔽处所
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:769,"[""开敞甲板"", ""露天甲板""]",结构,开敞甲板
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:770,"[""走廊"", ""走道""]",交通,走廊
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:771,"[""桑拿房"", ""桑拿""]",生活,桑拿房
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:772,"[""直升机甲板""]",特种处所,直升机甲板
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:773,"[""燃油净化间"", ""燃油净化器""]",机械,燃油净化间
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:774,"[""燃油舱"", ""燃油柜"", ""双层底燃油舱""]",存储,燃油舱
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:775,"[""脱险通道"", ""逃生通道""]",交通,脱险通道
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:776,"[""处所""]",通用,处所
